Game Export (v1.2)
GameId,1234567
Player,1,Homer Simpson
Player,2,Bart Simpson
Player,3,Marge Simpson
Map,101,Crossroads
Time Range,2013-01-11 02:50:40,2013-01-12 05:34:56
Number of Records,100
Index,Timestamp,Event Type,Player Id,Event Data
1,2013-01-11 02:54:42,ResourcesGathered,3,"resource_type=Wood, quantity=11"
2,2013-01-11 03:00:26,ResourcesGathered,2,"resource_type=Gold, quantity=7"
3,2013-01-11 03:05:42,ResourcesGathered,1,"resource_type=Gold, quantity=2"
4,2013-01-11 03:08:05,UnitTrained,3,"unit_type=Knight, health=270, damage=12-15"
5,2013-01-11 03:24:05,DestroyedEnemy,1,"unit_type=Pig Farm"
6,2013-01-11 03:30:12,ResourcesGathered,2,"resource_type=Wood, quantity=7"
7,2013-01-11 04:53:22,ResourcesGathered,1,"resource_type=Pigs, quantity=10"
8,2013-01-11 05:17:35,ResourcesGathered,2,"resource_type=Wood, quantity=10"
9,2013-01-11 05:18:07,DestroyedEnemy,1,"unit_type=Castle"
10,2013-01-11 05:19:26,ResourcesGathered,1,"resource_type=Wood, quantity=19"
11,2013-01-11 05:35:37,ResourcesGathered,3,"resource_type=Gold, quantity=10"
12,2013-01-11 06:07:19,UnitTrained,2,"unit_type=Footman, health=60, damage=4-8"
13,2013-01-11 06:34:19,ResourcesGathered,2,"resource_type=Pigs, quantity=13"
14,2013-01-11 06:49:38,ResourcesGathered,3,"resource_type=Gold, quantity=6"
15,2013-01-11 07:09:09,ResourcesGathered,1,"resource_type=Gold, quantity=9"
16,2013-01-11 07:38:02,StructureBuilt,1,"structure_type=Archery, health=350"
17,2013-01-11 08:11:42,ResourcesGathered,2,"resource_type=Wood, quantity=18"
18,2013-01-11 08:28:42,ResourcesGathered,1,"resource_type=Gold, quantity=6"
19,2013-01-11 08:28:59,StructureBuilt,1,"structure_type=Pig Farm, health=180"
20,2013-01-11 09:11:59,StructureBuilt,2,"structure_type=Barracks, health=250"
21,2013-01-11 09:12:06,StructureBuilt,3,"structure_type=Castle, health=480"
22,2013-01-11 09:26:20,UnitTrained,3,"unit_type=Archer, health=80, damage=3-9"
23,2013-01-11 09:29:59,StructureBuilt,1,"structure_type=Barracks, health=250"
24,2013-01-11 09:37:54,ResourcesGathered,1,"resource_type=Wood, quantity=9"
25,2013-01-11 10:14:21,ResourcesGathered,2,"resource_type=Wood, quantity=6"
26,2013-01-11 10:26:50,UnitTrained,2,"unit_type=Knight, health=270, damage=12-15"
27,2013-01-11 10:48:12,StructureBuilt,2,"structure_type=Castle, health=480"
28,2013-01-11 10:48:54,StructureBuilt,3,"structure_type=Pig Farm, health=180"
29,2013-01-11 10:50:22,ResourcesGathered,2,"resource_type=Gold, quantity=6"
30,2013-01-11 10:51:37,ResourcesGathered,3,"resource_type=Wood, quantity=14"
31,2013-01-11 10:57:22,StructureBuilt,2,"structure_type=Pig Farm, health=180"
32,2013-01-11 11:16:00,ResourcesGathered,3,"resource_type=Wood, quantity=6"
33,2013-01-11 11:19:04,ResourcesGathered,1,"resource_type=Pigs, quantity=15"
34,2013-01-11 11:22:51,ResourcesGathered,1,"resource_type=Wood, quantity=11"
35,2013-01-11 11:27:09,StructureBuilt,3,"structure_type=Castle, health=480"
36,2013-01-11 12:11:53,ResourcesGathered,2,"resource_type=Pigs, quantity=9"
37,2013-01-11 12:32:28,ResourcesGathered,3,"resource_type=Pigs, quantity=8"
38,2013-01-11 12:56:00,UnitTrained,2,"unit_type=Archer, health=80, damage=3-9"
39,2013-01-11 12:56:46,ResourcesGathered,2,"resource_type=Gold, quantity=6"
40,2013-01-11 13:23:10,UnitTrained,1,"unit_type=Peasant, health=40, damage=1-4"
41,2013-01-11 13:29:40,ResourcesGathered,3,"resource_type=Gold, quantity=4"
42,2013-01-11 13:34:32,ResourcesGathered,1,"resource_type=Pigs, quantity=10"
43,2013-01-11 14:18:31,ResourcesGathered,1,"resource_type=Pigs, quantity=4"
44,2013-01-11 14:50:01,DestroyedEnemy,2,"unit_type=Pig Farm"
45,2013-01-11 15:34:32,ResourcesGathered,2,"resource_type=Pigs, quantity=15"
46,2013-01-11 15:46:24,ResourcesGathered,2,"resource_type=Wood, quantity=15"
47,2013-01-11 15:50:18,ResourcesGathered,2,"resource_type=Pigs, quantity=14"
48,2013-01-11 16:23:50,StructureBuilt,1,"structure_type=Castle, health=480"
49,2013-01-11 17:00:30,ResourcesGathered,2,"resource_type=Pigs, quantity=4"
50,2013-01-11 17:14:00,ResourcesGathered,2,"resource_type=Gold, quantity=7"
51,2013-01-11 17:38:58,UnitTrained,1,"unit_type=Footman, health=60, damage=4-8"
52,2013-01-11 17:46:32,DestroyedEnemy,3,"unit_type=Footman"
53,2013-01-11 17:49:02,UnitTrained,1,"unit_type=Footman, health=60, damage=4-8"
54,2013-01-11 17:53:00,ResourcesGathered,2,"resource_type=Wood, quantity=7"
55,2013-01-11 17:55:00,ResourcesGathered,3,"resource_type=Wood, quantity=19"
56,2013-01-11 18:09:48,ResourcesGathered,3,"resource_type=Gold, quantity=2"
57,2013-01-11 18:58:18,ResourcesGathered,1,"resource_type=Gold, quantity=6"
58,2013-01-11 19:39:03,StructureBuilt,1,"structure_type=Archery, health=350"
59,2013-01-11 19:55:31,ResourcesGathered,1,"resource_type=Pigs, quantity=4"
60,2013-01-11 20:02:15,DestroyedEnemy,3,"unit_type=Pig Farm"
61,2013-01-11 20:57:16,DestroyedEnemy,2,"unit_type=Knight"
62,2013-01-11 21:20:55,ResourcesGathered,2,"resource_type=Wood, quantity=12"
63,2013-01-11 21:28:04,ResourcesGathered,3,"resource_type=Pigs, quantity=13"
64,2013-01-11 21:44:37,ResourcesGathered,1,"resource_type=Gold, quantity=9"
65,2013-01-11 22:09:45,ResourcesGathered,2,"resource_type=Wood, quantity=15"
66,2013-01-11 22:16:50,ResourcesGathered,3,"resource_type=Gold, quantity=6"
67,2013-01-11 22:54:49,ResourcesGathered,3,"resource_type=Gold, quantity=6"
68,2013-01-11 23:25:15,UnitTrained,2,"unit_type=Knight, health=270, damage=12-15"
69,2013-01-11 23:51:01,ResourcesGathered,2,"resource_type=Pigs, quantity=8"
70,2013-01-12 00:18:03,ResourcesGathered,2,"resource_type=Pigs, quantity=6"
71,2013-01-12 00:37:11,UnitTrained,2,"unit_type=Peasant, health=40, damage=1-4"
72,2013-01-12 00:39:57,UnitTrained,2,"unit_type=Footman, health=60, damage=4-8"
73,2013-01-12 01:14:41,UnitTrained,2,"unit_type=Footman, health=60, damage=4-8"
74,2013-01-12 01:33:42,ResourcesGathered,3,"resource_type=Pigs, quantity=14"
75,2013-01-12 02:02:47,StructureBuilt,3,"structure_type=Barracks, health=250"
76,2013-01-12 02:33:53,StructureBuilt,2,"structure_type=Castle, health=480"
77,2013-01-12 02:42:42,ResourcesGathered,1,"resource_type=Gold, quantity=1"
78,2013-01-12 02:50:35,ResourcesGathered,2,"resource_type=Gold, quantity=5"
79,2013-01-12 02:51:10,ResourcesGathered,1,"resource_type=Wood, quantity=14"
80,2013-01-12 03:44:56,ResourcesGathered,1,"resource_type=Wood, quantity=7"
81,2013-01-12 03:51:22,ResourcesGathered,3,"resource_type=Pigs, quantity=8"
82,2013-01-12 03:57:36,ResourcesGathered,3,"resource_type=Gold, quantity=8"
83,2013-01-12 04:01:37,ResourcesGathered,1,"resource_type=Pigs, quantity=14"
84,2013-01-12 04:14:38,ResourcesGathered,3,"resource_type=Gold, quantity=6"
85,2013-01-12 04:35:58,DestroyedEnemy,3,"unit_type=Footman"
86,2013-01-12 04:37:19,DestroyedEnemy,3,"unit_type=Archery"
87,2013-01-12 04:43:17,ResourcesGathered,3,"resource_type=Gold, quantity=8"
88,2013-01-12 04:53:46,UnitTrained,2,"unit_type=Archer, health=80, damage=3-9"
89,2013-01-12 04:57:35,UnitTrained,3,"unit_type=Footman, health=60, damage=4-8"
90,2013-01-12 05:08:09,DestroyedEnemy,2,"unit_type=Pig Farm"
91,2013-01-12 05:15:40,StructureBuilt,2,"structure_type=Archery, health=350"
92,2013-01-12 05:16:07,ResourcesGathered,1,"resource_type=Wood, quantity=16"
93,2013-01-12 05:34:56,DestroyedEnemy,3,"unit_type=Archery"
94,2013-01-12 05:34:56,ResourcesGathered,1,"resource_type=Gold, quantity=4"
95,2013-01-12 05:34:56,StructureBuilt,2,"structure_type=Castle, health=480"
96,2013-01-12 05:34:56,DestroyedEnemy,1,"unit_type=Footman"
97,2013-01-12 05:34:56,ResourcesGathered,1,"resource_type=Wood, quantity=6"
98,2013-01-12 05:34:56,StructureBuilt,3,"structure_type=Archery, health=350"
99,2013-01-12 05:34:56,ResourcesGathered,3,"resource_type=Pigs, quantity=14"
